Unnamed: 0,num,stage_1,stage_2,year_1,year_2,pop_1,pop_2,order,pv,rank
31,1935,0,0,6,6,2,1,5,NaN,1
32,6613,4.5,0.1,4,4,33,35,3,NaN,2
33,8585,6,5,5,5,6,12,1,NaN,3
34,632,4,3.5,3,1,3,29,2,NaN,4
35,2703,0,3,6,5,2,8,4,NaN,5
41,5140,7,5,1,1,35,34,5,NaN,1
42,3102,6,4,1,1,28,13,3,NaN,2
43,1125,6.1,3,5,1,20,41,1,NaN,3
44,21098,7,6,2,2,17,32,4,NaN,4
45,1,7,3,5,5,7,23,2,NaN,5
51,17394,3,2,3,3,24,29,4,NaN,1
52,703,6,4,1,1,15,42,3,NaN,2
53,1032,4,0.3,5,0,18,NaN,2,NaN,3
54,2939,1,5,1,1,25,37,1,NaN,4
55,58,4.5,5,6,6,54,32,5,NaN,5
71,6900,3,4,10,10,21,17,5,NaN,1
72,543,2,3,4,4,38,58,3,4,2
73,3530,5,4.5,1,1,19,68,1,1,3
74,27526,6,5,5,5,44,11,4,2,4
75,13023,2,7,3,3,34,37,2,3,5
81,233,4,0.1,2,3,40,26,3,2,1
82,1044,0.2,0.1,5,1,61,NaN,4,3,2
83,9937,0,0.1,11,9,5,54,2,1,3
84,2810,3,3,4,4,87,74,1,4,4
85,1939,1,0.5,6,6,52,51,5,NaN,5
91,8337,2,2,3,10,67,47,4,4,1
92,5560,6.1,6,1,3,15,36,3,1,2
93,8110,0.3,6.1,9,6,13,17,1,3,3
94,3229,6.1,0,10,12,40,1,2,2,4
101,7100,1,2,0,0,NaN,NaN,2,3,1
102,3519,0,0,13,13,3,2,3,2,2
103,11091,1,1,13,11,29,75,5,NaN,3
104,162,3,2,2,2,46,53,4,4,4
105,7120,5,3.5,13,13,4,70,1,1,5
111,121,6.1,0.1,1,12,53,74,5,NaN,1
112,31011,7,4,8,8,3,8,3,1,2
113,7171,7,6,1,1,43,31,4,3,3
114,3900,8,7,13,13,18,35,2,2,4
115,1415,7,0.3,2,11,63,19,1,4,5
131,4040,6,0.1,1,3,45,60,5,NaN,1
132,2590,6.1,6.1,1,1,15,54,3,4,2
133,19579,2,4,1,1,109,76,1,3,3
134,1042,2,1.5,16,16,31,62,2,1,4
135,146,5,5,1,1,87,83,4,2,5
141,8938,6,0.1,2,4,48,73,4,1,1
142,2441,0,3,17,16,2,10,5,NaN,2
143,9650,6,5,16,16,15,3,2,3,3
144,4010,4,4,16,16,NaN,NaN,3,4,4
145,2330,5,1,4,2,44,93,1,2,5
1510,508,5,0,13,18,12,2,5,NaN,1
1520,8283,7,6,1,9,76,29,4,4,2
1530,2492,4,3,5,5,40,51,1,3,3
1540,9004,5,6,1,1,68,36,3,1,4
1550,4121,6,7,16,16,41,9,2,2,5
151,3212,0.1,0.1,6,5,175,127,5,NaN,1
152,3984,4,7,1,1,46,76,3,NaN,2
153,2149,2,3,1,1,121,56,2,NaN,3
154,505,0,3,18,3,2,83,1,NaN,4
155,8450,5,4.5,9,9,39,66,4,NaN,5
